Geo Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;indice_lig;res_com;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.95543742518655, 2.30787256835423;"{""coordinates"": [2.30787256835423, 48.95543742518655], ""type"": ""Point""}";1193.0;Gilbert Bonnemaison;Gilbert Bonnemaison;;;72381.0;Gilbert Bonnemaison;59249.0;Gilbert Bonnemaison;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A02150;C01795;TRAM 8;8;TRAM 8;RATP;1.0;0.0;649313.0056999996;6873053.1565000005;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/b865807abbd35de8ec5a834f5886d3de;Gilbert Bonnemaison
48.93339059627366, 2.3006262112325966;"{""coordinates"": [2.300626211232597, 48.93339059627366], ""type"": ""Point""}";1080.0;Timbaud;Timbaud;;;72314.0;Timbaud;46450.0;Timbaud;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01191;C01389;TRAM 1;1;TRAM 1;RATP;1.0;0.0;648760.6281000003;6870606.234200001;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4;Timbaud
48.93335538130841, 2.2946029893860738;"{""coordinates"": [2.294602989386074, 48.93335538130841], ""type"": ""Point""}";1081.0;Le Village;Le Village;;;72305.0;Le Village;50664.0;Le Village;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01191;C01389;TRAM 1;1;TRAM 1;RATP;1.0;0.0;648319.3156000003;6870606.243700001;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4;Le Village
48.91751490665862, 2.2248121888783143;"{""coordinates"": [2.224812188878314, 48.91751490665862], ""type"": ""Point""}";1091.0;Parc Pierre Lagravère;Parc Pierre Lagravère;;;70975.0;Parc Pierre Lagravère;44678.0;Parc Pierre Lagravère;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01192;C01390;TRAM 2;2;TRAM 2;RATP;1.0;0.0;643188.9794000015;6868892.773699999;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886;Parc Pierre Lagravère
48.86752135629396, 2.4089789397445083;"{""coordinates"": [2.408978939744508, 48.86752135629396], ""type"": ""Point""}";1094.0;Séverine;Séverine;;;71824.0;Séverine;45629.0;Séverine;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01757;C01679;TRAM 3b;3B;TRAM 3b;RATP;1.0;0.0;656644.0672999993;6863216.951900002;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/39d54fc2c94b449e0465945c28663987;Séverine
48.824354900979124, 2.377661530695738;"{""coordinates"": [2.377661530695738, 48.824354900979124], ""type"": ""Point""}";1105.0;Maryse Bastié;Maryse Bastié;;;73623.0;Maryse Bastié;58493.0;Maryse Bastié;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01193;C01391;TRAM 3a;3A;TRAM 3a;RATP;1.0;0.0;654308.9118999988;6858434.9032999985;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/503e55ae906ef2c635f866cebaf92614;Maryse Bastié
48.897429960859256, 2.3949684071677146;"{""coordinates"": [2.394968407167715, 48.897429960859256], ""type"": ""Point""}";1109.0;Ella Fitzgerald;Ella Fitzgerald;;;73799.0;Ella Fitzgerald;58499.0;Ella Fitzgerald;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01757;C01679;TRAM 3b;3B;TRAM 3b;RATP;1.0;0.0;655641.7897000015;6866550.4037999995;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/39d54fc2c94b449e0465945c28663987;Ella Fitzgerald
48.97666569143144, 2.3774196746658713;"{""coordinates"": [2.377419674665871, 48.97666569143144], ""type"": ""Point""}";1121.0;Les Flanades;Les Flanades;;;65560.0;Les Flanades;43013.0;Les Flanades;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01760;C01684;TRAM 5;5;TRAM 5;RATP;1.0;0.0;654424.6931999996;6875371.397399999;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/b80fe7750c20d7588ef571595791b3a3;Les Flanades
48.97749308905476, 2.372242923708274;"{""coordinates"": [2.372242923708274, 48.97749308905476], ""type"": ""Point""}";1122.0;Les Cholettes;Les Cholettes;;;65586.0;Les Cholettes / Albert Camus;59018.0;Les Cholettes;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01760;C01684;TRAM 5;5;TRAM 5;RATP;1.0;0.0;654046.4742999971;6875466.407499999;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/b80fe7750c20d7588ef571595791b3a3;Les Cholettes
48.97359937511041, 2.3660669758363624;"{""coordinates"": [2.366066975836362, 48.97359937511041], ""type"": ""Point""}";1123.0;Butte Pinson;Butte Pinson;Parc Régional;;72796.0;Butte Pinson (Parc Régional);58640.0;Butte Pinson (Parc Régional);0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01760;C01684;TRAM 5;5;TRAM 5;RATP;1.0;0.0;653590.9114999995;6875037.0243999995;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/b80fe7750c20d7588ef571595791b3a3;Butte Pinson
